videoId,publishedAt,authorDisplayName,textDisplay
E-KRPywJSlU,2023-07-07,Alko De hond,De enige crisis is dit kabinet . Wat is verder het probleem ?
E-KRPywJSlU,2023-07-07,Old Cheese,Hoe vet kun je wezen bij die VVD volgevreten leden?
E-KRPywJSlU,2023-07-07,jaja djamoekjouw,Kijk naar nu  Frankrijk....dit staat VOORMALIG NEDERLAND  ook te wachten!!!
E-KRPywJSlU,2023-07-07,Jacks opinion,Opzouten met die asiel zoekers
1AZVU80uewo,2023-07-07,Stefan,"Rutte heeft zich in een moeilijke situatie gemanoeuvreerd. Voor hem was het geen probleem geweest om Kaag de hele kabinetsperiode te volgen, maar de achterban pikt het niet meer."
1AZVU80uewo,2023-07-07,Pe Rietveld,"Ik hoop het, keihard, zelfs, want daar zit ik tenminste heel lang op te wachten."
1AZVU80uewo,2023-07-07,MrRotterdamn,Deze mensen zijn niet geschikt om problemen op te lossen. Ze blijven alles vooruitschuiven zonder beleid uit te voeren 🤦🏽‍♂️ En ze komen telkens weer terug wat voor een democratie is dat 🤷🏽‍♂️
1AZVU80uewo,2023-07-07,Telly Savalas1974,Die oplichters blijven gewoon weer zitten. Mark neemt u weer bij de neuzen.
1AZVU80uewo,2023-07-07,martijn koning,"Enige reden waarom het gister niet is geklapt, is omdat ze hopeloos zoeken naar een kans om te blijven zitten, ondanks dat ze weten dat het gaat."
1AZVU80uewo,2023-07-07,iana,"rutte met zijn toneel stukjes. hij geeft de burger hoop dat ze gaan vallen. telkens weer worden we enorm genaaid vvd, d666, cu, cda stemmers kunnen mij maar beter niet zeggen dat ze op deze vreselijk lui stemmen, want ik klap zo iemand op zn smoel."
1AZVU80uewo,2023-07-07,nobody,Rutte wordt gewoon weer demissionair. Dat spelletje kennen we inmiddels wel.
1AZVU80uewo,2023-07-07,Requiescat,"Laten we hopen dat het kabinet valt.. Tijd voor ander beleid, tijd voor nieuwe verkiezingen."
1AZVU80uewo,2023-07-07,Herman Mik,Gewoon nieuwe verkiezingen
1AZVU80uewo,2023-07-07,Hans van Rijswijk,Demissionair geeft hem juist MÉÉR. macht !  Kunnen ze alles doordrukken wat ze willen !
1AZVU80uewo,2023-07-07,Manus S,Eindelijk klaar met dit kabinet😍💥BOOM
1AZVU80uewo,2023-07-07,Arjen van Doorne,De gehouden belofte van de democratie waarborgt de werking van karma voor ieder.
1AZVU80uewo,2023-07-07,Formula1 Maximal,Kabinet OPRUTTE
1AZVU80uewo,2023-07-07,Andre Schenk,Het is een groot slecht toneelstuk 😮 Natuurlijk gaat dit kabinet niet vallen want er zijn dan meer verliezers dan winnaars.
1AZVU80uewo,2023-07-07,Ronald M,Dan klapt het en zit rutte er volgende maand weer. We komen nooit meer van die man af
1AZVU80uewo,2023-07-07,Donny Brasco,Rutte lacht de boel gewoon weer aan mekaar de poppenkast landverneukende hijsa gaat gewoon door
1AZVU80uewo,2023-07-07,Lycy Neeskens,Rutte speelt weer spelletjes
1AZVU80uewo,2023-07-07,Rolf Agten,Heks Kaag en Rutte houden u voor het lapje.
1AZVU80uewo,2023-07-07,Dory Bleijswijk,"Ik kan die Rutte echt niet meer zien. Het is inderdaad, volgens mij dan, strategie. Het valt niet zo op als alleen het migratiebeleid klapt. En dan kan ie weer verder. Hij heeft zoveel leed veroorzaakt met niet regeren en als het moet even een strategietje er tegen aan.  Gezinshereniging kan je niet tegen houden. Je moet de migratie drastisch verminderen, hoe naar dat ook is."
1AZVU80uewo,2023-07-07,Froukje Andriesma,ik snap een ding niet )( de meeste Nederlanders zijn Rutte nu echt zat --- snapt hij dat zelf niet?... Rutte pak je spullen en stap op...
1AZVU80uewo,2023-07-07,S Oomkes,Schuif het Dublin-akkoord nog maar even voor de neus van mevrouw Kaag als ze zich zo graag aan internationale verdragen wil houden.
1AZVU80uewo,2023-07-07,Justin,Proost Kabinet gevallen 🥂
1AZVU80uewo,2023-07-07,konrad adenauer,Kabinet is gevallen 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕👉
1AZVU80uewo,2023-07-07,esther vd hoeven,"Hopelijk valt dit kabinet zo snel mogelijk,"
1AZVU80uewo,2023-07-07,hn3 zandstra,Even net alsof doen dat ze aan het werk zijn voor de vakantie een grote poppenkast
1AZVU80uewo,2023-07-07,kookiiee7,"lekker laten vallen.. klaar. na 8,5 maand op eens dit met rutte hij wilt niet op de blaren zitten. meneer heeft toch wel weer een baan ergens anders de  EU.."
1AZVU80uewo,2023-07-07,Manus S,vvd komt samen met bbb ^^ dan krijgen we pas nieuwe cultuursveranderingen :P klaar met die kaag 😞
1AZVU80uewo,2023-07-07,Eureka Kuekuenda,DE KAPITEIN GA VALLEN.
1AZVU80uewo,2023-07-07,Shakira Bauer,Van mij mag de stekker eruit en nooit meer een kabinet met rutte
1AZVU80uewo,2023-07-07,Hondo Becholz,Voor mij mag hij op ...ten
1AZVU80uewo,2023-07-07,MaDHouSe,🤡
1AZVU80uewo,2023-07-07,Johanna te Riele,Blij maken met een dooie mus ?
1AZVU80uewo,2023-07-07,Hetiswat,Waarom geven jullie die prutsers zoveel aandacht? Lijkt me juist veel effectiever om ze gewoon helemaal niet meer te interviewen en volledig te negeren.
1AZVU80uewo,2023-07-07,Johan Cruijff,"Hehe eindelijk af van rutteh, Hopeijk gaan we nu een menselijke kabinet krijgen en wordr voeding goedkoper, minder btw"
1AZVU80uewo,2023-07-07,crypto crypto,🤞val
1AZVU80uewo,2023-07-07,Claudio Viglietti,Mark gaat weer winnen  er namelijk geen alternatief wie denken jullie dat iemand mark kan overnemen graag reactie.
1AZVU80uewo,2023-07-07,Maria V 🌄,🦎
1AZVU80uewo,2023-07-07,422 inf bev com  vanheutz,Het cda moet blijven zitten .dan word deze partij bij de volgende verkiesingen opgehefen.🤣🤣
1AZVU80uewo,2023-07-07,Bell Hamel,"We willen idd fatsoenlijk bestuur, pak je biezen coalitie"
1AZVU80uewo,2023-07-07,Henk&Nel eastwood,Volkert waar ben je?
CTmkglDdVtU,2023-07-08,gjalt van der meij,"Met de VVD daar kun je niet omheen. Maar weer met Mark Rutte als premier zou afschuwelijk zijn. Er zijn ook nog een paar ex ministers die verantwoording moeten afleggen over de afgelopen jaren, te beginnen met de oversterfte die nog steeds oploopt."
CTmkglDdVtU,2023-07-08,Lambert Wijshake,Daar moet BBB nooit intrappen vvd is levensgevaalijk
CTmkglDdVtU,2023-07-08,Hetiswat,Sophie “als je niets kunt dan kun je altijd nog de politiek in gaan” Hermans.
CTmkglDdVtU,2023-07-08,George 1010th,Is het land al niet KAPOT genoeg VVD ? Wat dachten jullie van TOTAAL opzouten ?!
CTmkglDdVtU,2023-07-08,Marco P,Sophie Hermans moet haar koffers ook pakken en lekker een functie elders gaan doen!
CTmkglDdVtU,2023-07-08,Johan k,Ik wil echt vernieuwende politiek met nieuwe partijen. Kan deze politici niet meer zien of luchten. Zeker deze niets zeggende sofie. Wat een mens zonder ruggegraad
CTmkglDdVtU,2023-07-08,jos zoet,"Na al, die trieste politiek van de Rutte is het maar de vraag of VVD de grootste weer wordt... De burger is een ervaring rijker en gaan over rechts om hun portemonnee...Dus géén VVD.."
CTmkglDdVtU,2023-07-08,katja v Heesch,Ze zitten straks in die zomerreces waarin ze nog van alles bekonkelen.
CTmkglDdVtU,2023-07-08,F.J Gouda,NOOIT AAN BEGINNEN CAROLINE !!!
CTmkglDdVtU,2023-07-08,Jordie,"Vraag is , nu het kabinet is gevallen, of Caroline van der Plas de nieuwe, en eerste vrouwelijke premier wordt van NL 🇳🇱 wat betreft peilingen, gaat gelijk op met de VVD"
CTmkglDdVtU,2023-07-08,H van Sinderen,Niks geen samenwerking met de vvd
CTmkglDdVtU,2023-07-08,Cindy Raven,Stappen vooruit Sophie ?  Wanneer ?
CTmkglDdVtU,2023-07-08,Randy Marsh,"De eerste vrouwelijke Mp van NL, zou best Caroline kunnen zijn!"
CTmkglDdVtU,2023-07-08,I de Ploeg,"She does want it so badly, it makes you hurt!"
CTmkglDdVtU,2023-07-08,HelloItsMe,Ach BBB wordt bij de landelijke verkiezingen denk ik toch niet zo groot
CTmkglDdVtU,2023-07-08,FFF,"BBB met VVD samen ?? Nou moet ik erg hard lachen. En nog harder als C v.d. Plas premier wordt (gaat NEVER NOOIT gebeuren). LOL. Zullen ze in het buitenland ook erg om moeten lachen.  Bij de volgende 2e Kamer verkiezingen is het gedaan met BoerenBurgerBedrog, want ze waait met alle winden mee. Koersvast HaHaHa. My ass."
CTmkglDdVtU,2023-07-08,Wilma Vermeulen,Hermans WEGWEZEN
CTmkglDdVtU,2023-07-08,Jack Philipsen,Caroline als Premier. En Rutte lekker minister van Buitenlandse zaken maken. Probleem opgelost:)  (Functie elders misschien?:)
CTmkglDdVtU,2023-07-08,FFF,"Echt, Sophie ga je toch niet menen (wat ook niet zo is)."
CTmkglDdVtU,2023-07-08,jo bovens,sophie het gestresste
CTmkglDdVtU,2023-07-08,Pm Bakker,Alsjrblieft niet
CTmkglDdVtU,2023-07-08,G. Nillissen,Jo
1AZVU80uewo,2023-07-08,Robert Spanjaard,VVD IS ZEER ONBETROUWBAAR
1AZVU80uewo,2023-07-08,Tsjûke Mar,Nieuw baantje bij de NAVO als vervanger van Stoltenberg in het verschiet.
1AZVU80uewo,2023-07-08,Moby Whale,Allemaal niet belangrijk Europa is de baas
1AZVU80uewo,2023-07-08,dors,De jokke brok
dZtT4Ua1EpA,2023-07-09,Flöv Pöppi,"Hugo heeft braaf de orders uitgevoerd, loopt hij alsnog het risico dat hij z’n nieuwe bloemschoenen niet kan showen op het bordes."
dZtT4Ua1EpA,2023-07-09,joop van derzwaan,Ze waren maanden bezig en nu met mooie verhalen komen om de eigen hachje te redden van kijk is we hebben zoveel gedaan.mooie praatjes voor de verkiezingen die er dadelijk ook aan komt
dZtT4Ua1EpA,2023-07-09,Rolf Prejean,"als er 1 is, waar je niet op kan vertrouwen, dan is het Huugje wel."
dZtT4Ua1EpA,2023-07-09,Ko Verhelst,"De VVD zakt dan misschien wel naar de kelder, deze meneer de Jonge zakt zelfs nog door de keldervloer."
dZtT4Ua1EpA,2023-07-09,Martha Hoeks,Ik hoop die twee nooit meer te zien! Nergens meer!
dZtT4Ua1EpA,2023-07-09,cees popering,Hugo de Prikkert we vergeten je nooit.
dZtT4Ua1EpA,2023-07-09,Michael G,Rutte doet alleen maar wat goed is voor Rutte.
dZtT4Ua1EpA,2023-07-09,Hetiswat,Fijn dat het over de partijpolitiek gaat in plaats van de inhoud. Wat een mooie moderne “democratie”.
dZtT4Ua1EpA,2023-07-09,pl topper,"en de hele kamer stond erbij en keek er naar , alle heilige boontjes nog aan toe"
dZtT4Ua1EpA,2023-07-09,Joyce V,Natuurlijk mag HIJ daar aanschuiven🤮. Wat een aanfluiting is dit programma toch😂
dZtT4Ua1EpA,2023-07-09,Rudels Harm,hugo grote volgeling van het WEF !!!
dZtT4Ua1EpA,2023-07-09,Ruud Spapie,Doei doei Hugo Tot nooit  !!!!!   🖐🏻🖐🏻🖐🏻🖐🏻🖐🏻
dZtT4Ua1EpA,2023-07-09,Cat Anh Luu,Op een enkele na zijn het allemaal acteurs in Den Haag. Wel B acteurs natuurlijk.
dZtT4Ua1EpA,2023-07-09,Etienne Bezemer,"Hugo,je hoort achter tralies thuis!!!"
dZtT4Ua1EpA,2023-07-09,Tina Bierdrager,See no Evil here no evil
dZtT4Ua1EpA,2023-07-09,Randy Marsh,Hugo de Jonge hoort thuis in de gevangenis
dZtT4Ua1EpA,2023-07-09,Binnenvaart & Transport Nederland,Rutte 10 zal iets beter worden!😂😂😂
dZtT4Ua1EpA,2023-07-09,nanwuamitofo,Griezel de Jong. Jouw machtswellustige ogen destijds spraken boekdelen.
dZtT4Ua1EpA,2023-07-09,DEKOproducties,Hugo de DOMME
dZtT4Ua1EpA,2023-07-09,Crypto Dreamer,Dat vrouwtje is ook zo'n super bureaucraatje. Ga maar ergens een type cursus volgen.
dZtT4Ua1EpA,2023-07-09,carla sebregts,De film? Ja idd we zitten 12 jr in een film
dZtT4Ua1EpA,2023-07-09,Patrick Grinwis,Snuifdoos Hugo mag naar het uwv.
dZtT4Ua1EpA,2023-07-09,Riet Kruijs,Mooi poppetje zegt ook wat!! Tjongejonge
dZtT4Ua1EpA,2023-07-09,M corp,3 stooges 😂😂😂
dZtT4Ua1EpA,2023-07-09,Willy Foré,waar zijn de miljoenen
dZtT4Ua1EpA,2023-07-09,Masada 2215,Hugo heeft de genen van opa Hugo de kampbeul van Erica die na de bevrijding gestraft is met een jarenlange gevangenisstraf  !!
dZtT4Ua1EpA,2023-07-09,Harry-Frans Pakaila,Een  misdadiger aan het woord ( hoe kan dit)
E-KRPywJSlU,2023-07-09,Mark Overwater,"Ex moet mee, kinderen tweede vrouw moeten mee, ouders moeten mee Zo krijgt Nederland er 10 extra bij  Elke vluchteling kost aan totale kosten jaarlijks 25.000 euro per jaar  Dus 1 meegereisde gezin 250.000 euro per gezin"
CTmkglDdVtU,2023-07-09,Javier Lozano,als zij nog in de kamer blijft dan is nederland echt gek geworden
CTmkglDdVtU,2023-07-09,Werner Boden,"VVD wil wel samen met BBB, om hun huid te redden. Caroline was hier niet bij. Ik denk dat zij daar andere ideëen over heeft, want zij wil Pieter Omtzicht er wel bij hebben. Afhankelijk hoe het gaat, zal het kartel hard vallen. Maar als mensen verandering willen, zullen we ons ego moeten laten vallen en andere keuzen moeten maken, anders is Rutte weer terug. Dan is BBB de logische keus."
CTmkglDdVtU,2023-07-09,Eddy 0304,Ik weet niet hoor.. maar VVD is verantwoordelijk voor één groot verwoestings spoor de afgelopen 12 jaar.
CTmkglDdVtU,2023-07-09,Ayrton senna,"Sophie hallo, er komen eerst nieuwe verkiezingen, dus niet voor je beurt praten. Jij beeft ook van de BBB, JA21 daarom praat je nu zo, 1 dag later schandalig"
CTmkglDdVtU,2023-07-09,Op tyfen,"VVD en stappen vooruit, ga toch weg!"
CTmkglDdVtU,2023-07-09,Beautiful colours,Hoogmoed komt voor de val Sophie tasjes draagster
CTmkglDdVtU,2023-07-09,Kolf Amalo,"wij gaan weer proberen omee.. sophie je hebt geen ene moer gedaan voor nl alleen maar fabeltjes bespreken in 2e kamer en geen ene moer doen voor nlse volk. dat is vvd,,,, hun zitten er warmpjes bij met hun salaris, maar ze praten over mooie diingen maar doen niks mee... 0"
CTmkglDdVtU,2023-07-09,jorge louis,Russia 🇷🇺  is watching 😂
dZtT4Ua1EpA,2023-07-10,Sandy Hagey,Rutte verlaat ons en de volgende mogen hem volgen: Hugo Sjoerd Tjeerd Kaag Jetten Kuipers  Deze is alvast een goed begin om Den Haag op te schonen.
dZtT4Ua1EpA,2023-07-10,Dedame Vanstand,Rat2 probeert zich het schip uit te lullen....
dZtT4Ua1EpA,2023-07-10,kuko maan,Volgens mij snuift bruin jasje  Hugo de Jonge zich helemaal suf. Mooi dat ze al clashen.
HtiZeBrvONA,2023-07-10,truus marja,Wat een zelfoverschatting...gaat hem zeker niet worden...13 in een dozijn.
HtiZeBrvONA,2023-07-10,Patrick de Bie,Gaat me aan het hart..... En een gevaccineerde krijgt het aan zijn hart..... Foute partij. Foute mensen.....
HtiZeBrvONA,2023-07-10,Liεf Klεiπ Koπijnτjε,"Nee, gaat hem niet worden."
HtiZeBrvONA,2023-07-10,Wim van Beek,Hier het eerste reclamespotje van de VVD gesponsord door WNL naar vertrek Rutte.
HtiZeBrvONA,2023-07-10,boven110,Vergeefse moeite.
HtiZeBrvONA,2023-07-10,Ry Bik,Misschien een goed idee om gewoon niemand kandidaat te stellen? Mensen zullen er toch geen verschil in merken...
HtiZeBrvONA,2023-07-10,,Dreetje Bosman for prez 🎉🎉🎉🥳🥳🥳 iedereen elke morgen een gratis toeter roken 🚬🚬🌱🌱
HtiZeBrvONA,2023-07-10,Jelle de Ronde,Gaat hem zeker niet worden 😂😂
HtiZeBrvONA,2023-07-10,Gerard,Nóóit meer VVD!
HtiZeBrvONA,2023-07-10,Lars Smeets,Gaat hem niet worden niet sterk genoeg
HtiZeBrvONA,2023-07-10,PixelPhobiac,Dat zijn uw woorden Ik hoor het u zeggen  Hij heeft wel opgelet bij de medicursus
HtiZeBrvONA,2023-07-10,Bastiaan Stapelberg,Hans Wiegel misschien 😂
HtiZeBrvONA,2023-07-10,David Hertogh,Opheffen die vvd
HtiZeBrvONA,2023-07-10,Iemand Anders,Next
HtiZeBrvONA,2023-07-10,Jan De jong,"Laat het hem maar worden, hoe meer zetels de VVD verliest, hoe beter!"
CTmkglDdVtU,2023-07-10,Arjan Slagter,BBB gewoon lekker samen met Omzicht
CTmkglDdVtU,2023-07-10,tom,"samenwerken en stappen vooruit zetten, weer een tankwagen vol met loze kreten van die lichte truus, wat is er nieuw"
CTmkglDdVtU,2023-07-10,Ayrton senna,Sophie ga aub andere werk zoeken
CTmkglDdVtU,2023-07-10,John Shares,Miss biafra
CTmkglDdVtU,2023-07-10,Pietje Puk,Tassendrager en leugenaar
4R-z3xwTEv8,2023-07-10,stijn van der sluis,"PVDD legends, de echte toekomst van Nederland"
4R-z3xwTEv8,2023-07-10,Edwin Brouwer,Wat een stresskip. Ze vecht alweer tegen de tranen.
4R-z3xwTEv8,2023-07-10,Masson H,NL is nu wereldwijd nr 4 van de meest concurrerende economieën. Tevens het rijkste land van Europa.   BEDANKT MARK! 👌
4R-z3xwTEv8,2023-07-10,Ramon S,VVD doet er goed aan om niet met deze vrouw de verkiezingen in te gaan. Ze is gewoon  te zwak in discussies en debatten.
4R-z3xwTEv8,2023-07-10,Petrus,"Maar as-te-blief !!!!! gééén Sophie Hermans......daar wordt Nederland echt bekaf van. Rollende ogen, ongeduld, kan niet rustig luisteren en wachten, wil véél te graag, struikelt over haar kennis en ratelt maar door."
4R-z3xwTEv8,2023-07-10,JOH TOR,Gaat ze weer bijna huilen. Ook die tochtstrip zou op moeten krassen.
4R-z3xwTEv8,2023-07-10,pietje puk,Emotioneel wrak die Sophie ! Dat gezegd hebbende ..die partij van de dieren is pas echt erg.....
4R-z3xwTEv8,2023-07-10,j.gammer,Is Nederland slim dan van de keuzes van de laatste tijd als ik het daar van af moet halen dan weet ik dat nog niet 😂😂
4R-z3xwTEv8,2023-07-10,Andre Lejeune,Zie maar Hollanders op wie je stemt uiteraard is dit een strategie Rutte legt de fout bij cu.en die Hermans wat een afgang mens toch je bent niet bestand tegen kritiek. Prachtige video.
4R-z3xwTEv8,2023-07-10,turbogurb,"er nu iets aan te doen, is helaas te laat mevr. Hermans"
4R-z3xwTEv8,2023-07-10,Dennis Bouma,De tassendraagster 😭
4R-z3xwTEv8,2023-07-10,Arjen van Doorne,De grief van de massa.
4R-z3xwTEv8,2023-07-10,Pep,Jij hebt dit gedaan! Jij dat! Dit is jou schuld!!   Zo gaat het daar
4R-z3xwTEv8,2023-07-10,Jop marli,Blijkbaar tassendrager voelt zich opgeroepen 😂😂
4R-z3xwTEv8,2023-07-10,truckker63,"Die Baby van Hermans, het wordt tijd dat Ze uit de 2e kamer gaat !!! Grote Jankert  😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭"
4R-z3xwTEv8,2023-07-10,MatthiaKra,net zo dat de logisch nadenkende mensen ook niet in de pvda en de rest van de zooi trapt
4R-z3xwTEv8,2023-07-10,QiWi,Amen
4R-z3xwTEv8,2023-07-10,Pe Rietveld,"Hahahahahahaha, ik ga maar even iets leuks doen, ik heb al weer meer dan genoeg gehoord vandaag."
4R-z3xwTEv8,2023-07-10,nobody,"Vertel mij eens Esther, Waarom zijn er de laatste jaren in Urk de laagste besmettingen en sterftecijfers geweest? Bron AD. Zou het iets met vette vis of met die prikkies te maken hebben?"
4R-z3xwTEv8,2023-07-10,Lex,HUIL DAN! HUIL DAN! GA DAN HUILEN!!!! HIULIEHUILIE! LOL!
4R-z3xwTEv8,2023-07-10,nobody,"Mark, vertel ons nou eens de waarheid Mark over het corona virus in plaats van ""je vraagt je af, gebeurt dit echt?""......... Je hoeft nu niet meer herkozen te worden."
4R-z3xwTEv8,2023-07-10,The Audio Guy300,pvv number 111
4R-z3xwTEv8,2023-07-10,Willy Foré,zit de koekendoos daar nog ????
4R-z3xwTEv8,2023-07-10,STEVE555,Bakje decafé zou Sidonia geen kwaad doen
4R-z3xwTEv8,2023-07-10,Rob3987,zure haring
qiwPJEp-qVc,2023-07-11,Alexander van Eijken,Wederom een voorbeeld van iets wat de heer Baudet al jaren betoogt. Wederom!
qiwPJEp-qVc,2023-07-11,Starscream,"Nou, de VVD zal het onder deze zenuwachtige waaiboom fantastisch doen. Ze hebben kennelijk nooit over een troonopvolger nagedacht."
qiwPJEp-qVc,2023-07-11,Christiaan,"Zelfde circus, andere clowns 🤡."
qiwPJEp-qVc,2023-07-11,Ryuken,Ben benieuwd hoeveel mensen toch weer op VVD willen stemmen 🥲
qiwPJEp-qVc,2023-07-11,Slappe,"Dat 0.00036 graden verhaal is toch onverkoopbaar. Zelfs iemand die diehard klimaats beleid support, zou toch vraagtekens moeten krijgen bij het horen van die deal.."
qiwPJEp-qVc,2023-07-11,Metal Videos,Nee voor de VVD is de WEF belangrijker dan de burgers in dit land. maar ja dat krijgen ze hun strot niet uit natuurlijk.
qiwPJEp-qVc,2023-07-11,Mark Berens,Sophie stop hiermee. Je maakt jezelf belachelijk. Je kunt niet debatteren.
qiwPJEp-qVc,2023-07-11,Nico van Tol,De miljarden zullen blijven stromen naar ONZIN dus NL gaat KAPOT aan deze WAANZIN !!!!!!!!!!!!!!!!!!!!!!!!
qiwPJEp-qVc,2023-07-11,Harvey Sengers Music 🎵,"Heerlijk, eindelijk de VVD naar de vernieling ❤"
qiwPJEp-qVc,2023-07-11,rene de bolster,Sophie Hermans komt over als een vrouw met adhd in combinatie met een paniekaanval. Misschien een heel aardig mens maar totaal ongeschikt voor haar functie.
qiwPJEp-qVc,2023-07-11,i like cheap,"Als VVD weer aan de macht komt hoor je zachtjes;  poef ! ,  en weg is 28 miljard euro. En dan nog duizend miljard er achter aan. Maar u kunt niet met 65 jaar met AOW , want dat kost teveel hoor. Echt waar."
qiwPJEp-qVc,2023-07-11,Gerard Wösten,Blablablabla. Ik wordt zo moe van die vrouw. Ze heeft heel goed naar Rutte geluisterd. Een antwoord geven zonder te antwoorden. Mensen stem alstublieft niet meer op de VVD! Geef de oppositie een kans. Het is genoeg geweest !
qiwPJEp-qVc,2023-07-11,Mark Veenstra,"Ze wil niet de discussie voeren over het aantal graden... Precies. De feiten daar kijkt de VVD niet graag naar. Altijd mooie praatjes, maar het zijn zulke inhoudslozen."
qiwPJEp-qVc,2023-07-11,Mark Rutte,Toen baudet het paar jaar geleden vroeg was het een complotgekkie
qiwPJEp-qVc,2023-07-11,Wicca Bijvelds,Zij is geen politica maar een PR persoon voor de VVD
qiwPJEp-qVc,2023-07-11,WOOD NOX,"Je ziet gewoon dat ze niks te vertellen heeft, ze loopt te liegen 🤥"
qiwPJEp-qVc,2023-07-11,Theo Bijman,Ze is net zo ongeloofwaardig als Rutte
qiwPJEp-qVc,2023-07-11,Gilbert Kuipers,Ik stem absoluut niet op de VVD Deze vrouw gaat gewoon de oude koers verder
qiwPJEp-qVc,2023-07-11,sander dekker,"Als de VVD haar best doet, stinkt het inderdaad ja"
qiwPJEp-qVc,2023-07-11,Murk Durk,Ze heeft dezelfde manier van spreken als Mark Rotte. Een ontzettend onplezierige houding.
qiwPJEp-qVc,2023-07-11,Marco P,"Veel woorden maar er komt niets zinnigs uit Mevrouw Hermans. Het is alleen maar heel gewichtig, overtuigend en  zelfverzekerd doen!"
qiwPJEp-qVc,2023-07-11,Eddy 0304,Geef gewoon is antwoord op de vraag Hermans.. Pfffff
qiwPJEp-qVc,2023-07-11,Ger Derks,Hopelijk gaat ze met de partijleider mee. Alweer een probleem opgelost.
qiwPJEp-qVc,2023-07-11,Ralph Jansen,"Tenenkrommend.....bijzonder pijnlijk wat eruit komt, het is echt niet te doen gewoon"
qiwPJEp-qVc,2023-07-11,Dick Snoeren,Samenleving begint bij goed onderwijs. Onthoud dat.
qiwPJEp-qVc,2023-07-11,Evan Dungen,"De kampioen ""loze praat"" die als gebruikelijk met heel veel woorden weer HE-LE-MAAL niets beantwoordt... #zucht"
qiwPJEp-qVc,2023-07-11,Peter Bettink,DAAR GAAN WE WEER!!!! 😮
qiwPJEp-qVc,2023-07-11,Jea Art,Iedereen die in een eerlijke uitslag van de verkiezingen gelooft begrijpt het nog niet helemaal
qiwPJEp-qVc,2023-07-11,Woon WouTer,Klimaat heeft geen grenzen net zoals asieligers 😅
qiwPJEp-qVc,2023-07-11,d. i.,"Pfff...ik dacht al...het is zeker 0,0000036 graden warmer deze zomer. Vroeger was alles beter😅"
qiwPJEp-qVc,2023-07-11,wakkere,Waren toch complottheorieën
qiwPJEp-qVc,2023-07-11,Timothy Drake,Hermans moet gewoon lekker thuis een paar DVDtjes erin drukken. Dit wordt te veel.
qiwPJEp-qVc,2023-07-11,Pelerincha,Onze stinkende best and kyhard werken betekent dat niks gedaan word
qiwPJEp-qVc,2023-07-11,Frankster8039,"Is er dan helemaal niemand binnen de VVD die tegen haar zegt :  ""  Ga nou maar iets anders doen want dit werkt  niet ""  ?"
qiwPJEp-qVc,2023-07-11,Andrew Watts,"Nooit de daadwerkelijk vraag beantwoorden, Heerlijk..."
qiwPJEp-qVc,2023-07-11,Erik Stekelenburg,Hermans; heel veel bladiebla maar niets zeggen.
qiwPJEp-qVc,2023-07-11,Nico van Tol,Zie je deze trekpop blijft dom op z'n Ruttens kletsen en dus niets klaar spelen !!!!!
qiwPJEp-qVc,2023-07-11,P,Nou ik weet wel hoe het land er uit ziet over 10 jaar
qiwPJEp-qVc,2023-07-11,Henk Martens,"Zelfs op de middelbare school, tussen pubers van 16/17 jaar kan Hermans zich niet verbaal handhaven, hoe zielig....wie praat eens met haar ?"
qiwPJEp-qVc,2023-07-11,John Roekoek,"""We moeten er wat aan doen"". Dat roept ze al heel lang. Ik wachtte op: Het is door ons opgelost."
qiwPJEp-qVc,2023-07-11,PeeJee Jansen,"Ze heeft in elk geval één waarheid gesproken: ""ik ben geenszins uitputtend"". Inhoudelijk klopt dat altijd, energetisch is ze dat echter zonder uitzondering."
qiwPJEp-qVc,2023-07-11,va da,Waarom maken we ons zo druk hoe we het land achterlaten aan de volgende generaties ? Volgende generaties... omvolking.. waar hebben we het over
qiwPJEp-qVc,2023-07-11,postman delivers,"idd ten koste van alles, dat is wel duidelijk. desnoods eet/leef je maar van krekeltjes/sojabonen, zover zijn ze dus al bereid om te gaan. ze laten je net niet verhongeren.  opgesodemieterd !!!! direct nieuwe verkiezingen"
qiwPJEp-qVc,2023-07-11,C H,"Meer asielinstroom en meer inwoners extra is meer vervuiling, in alle opzichten, logisch Als er ter verduidelijking maar 20 inwoners hadden zou de vevuiling geen onderwerp zijn. Oplossing meer mensen weg uit Nederland en geen erin"
qiwPJEp-qVc,2023-07-11,Henk Weurding,"Als ze antwoord moet geven op een vraag is elk tweede woord ehhh, daarna begint het ingestudeerde verhaal."
qiwPJEp-qVc,2023-07-11,Jacqueline van der Kooij,"US kan oa. temperatuur meten terwijl ze overvliegen. Bij grote gebieden waar veel zonnepanelen stonden/lagen, hebben ze 2.6 graden hogere temperatuur gemeten. 😂😂😂"
qiwPJEp-qVc,2023-07-11,fred gob,"de klimaathysterie van groenlinks en pvda zijn ook niet beter dan d66 dat is een pot nat, dus maak bij de verkiezingen de juiste keuze ."
